id,plu,category,commodity,variety,size,botanical,aka
1,3000,Fruits,APPLES,Alkmene,All Sizes,Malus domestica,
2,3001,Fruits,APPLES,Aurora/Southern Rose,Small,Malus domestica,
3,3002,Fruits,APPLES,Cantared,All Sizes,Malus domestica,
4,3003,Fruits,APPLES,D'Estivale,All Sizes,Malus domestica,
5,3004,Fruits,APPLES,Discovery,All Sizes,Malus domestica,
6,3005,Fruits,APPLES,Golden Delicious Blush,All Sizes,Malus domestica,
7,3006,Fruits,APPLES,Ingrid Marie,All Sizes,Malus domestica,
8,3007,Fruits,APPLES,Lochbuie,All Sizes,Malus domestica,
9,3008,Fruits,APPLES,Rubinette,All Sizes,Malus domestica,
10,3009,Fruits,APPLES,Russet,All Sizes,Malus domestica,
11,3010,Fruits,APPLES,Cripps Red,Small,Malus domestica,"JOYA, Sundowner"
12,3011,Fruits,APPLES,Worcester,All Sizes,Malus domestica,
13,3012,Fruits,PEARS,Abate Fetel,All Sizes,Pyrus spp.,
14,3013,Fruits,PEARS,Beurre Hardy,All Sizes,Pyrus spp.,
15,3014,Fruits,PEARS,Bon Rouge,All Sizes,Pyrus spp.,
16,3015,Fruits,PEARS,Clara Friis,All Sizes,Pyrus spp.,
17,3016,Fruits,PEARS,Concorde,All Sizes,Pyrus spp.,
18,3017,Fruits,PEARS,Conference,All Sizes,Pyrus spp.,
19,3018,Fruits,PEARS,Durondeau,All Sizes,Pyrus spp.,
20,3019,Fruits,PEARS,Flamingo,All Sizes,Pyrus spp.,
21,3020,Fruits,PEARS,General Leclerc,All Sizes,Pyrus spp.,
22,3021,Fruits,PEARS,Guyot,All Sizes,Pyrus spp.,
23,3022,Fruits,PEARS,Josephine,All Sizes,Pyrus spp.,
24,3023,Fruits,PEARS,Passe Crassane,Small,Pyrus spp.,
25,3024,Fruits,PEARS,Rocha,All Sizes,Pyrus spp.,
26,3025,Fruits,PEARS,Rosemarie,All Sizes,Pyrus spp.,
27,3026,Fruits,PEARS,Triumph de Vienne,All Sizes,Pyrus spp.,
28,3027,Fruits,ORANGES,Shamouti,All Sizes,Citrus spp.,
29,3028,Fruits,ORANGES,Delta Seedless,Small,Citrus spp.,
30,3029,Fruits,TANGERINES/MANDARINS,Satsuma,All Sizes,Citrus unshiu,
31,3030,Fruits,TANGERINES/MANDARINS,"Nova (includes Clemenvilla, Suntina)",All Sizes,Citrus spp.,
32,3031,Fruits,TANGERINES/MANDARINS,"Jamaican Tangor (includes Ortanique, Mandor, Mandora, Tambor, Topaz, Ortanline)",All Sizes,Citrus spp.,
33,3032,Fruits,TANGERINES/MANDARINS,Ellendale,All Sizes,Citrus spp.,
34,3033,Fruits,MELON,Charentais,Small,Cucumis melo,
35,3034,Fruits,MELON,Charentais,Large,Cucumis melo,
36,3035,Fruits,NECTARINE,"White Flesh, Tree Ripened, Ready-to-eat",Large,Prunus persica,
37,3036,Fruits,ORANGES,Midknight,Small,Citrus spp.,
38,3037,Fruits,PINEAPPLE,Queen,All Sizes,Ananas comosus,
39,3038,Fruits,PASSION FRUIT,"Granadilla, Orange",All Sizes,Passiflorae.var. flavicarpa,
40,3039,Fruits,PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY,,All Sizes,Physalis spp.,
41,3040,Fruits,PITAHAYA,Red (skin color),All Sizes,Hylocereus lindatus,
42,3041,Fruits,RAMBUTAN,,All Sizes,Nephelium lappaceum,
43,3042,Fruits,MANGOSTEEN,,All Sizes,Garcinia mangostana,
44,3043,Fruits,GRAPES,"Italia, Seeded",All Sizes,Vitis vinifera,
45,3044,Fruits,APRICOTS,Black Velvet,All Sizes,Prunus armeniaca,
46,3045,Fruits,DATES,"Fresh, On Branch",All Sizes,Phoenix dactylifera,
47,3046,Fruits,DATES,"Fresh, Frozen",All Sizes,Phoenix dactylifera,
48,3047,Fruits,DATES,Medjool,All Sizes,Phoenix dactylifera,
49,3048,Vegetables,BEANS,Helda/Flat,All Sizes,Phaseolus vulgaris,
50,3049,Vegetables,BEANS,Fine,All Sizes,Phaseolus vulgaris,
51,3050,Vegetables,CABBAGE,Dutch White/Winter White,All Sizes,Brassica oleracea,
52,3051,Vegetables,CABBAGE,Spring Cabbage/Spring Greens,All Sizes,Brassica oleracea,
53,3052,Vegetables,GARLIC,String,All Sizes,Allium sativum,
54,3053,Vegetables,PARSNIP,Baby,All Sizes,Pastinaca sativa,
